D (mm),t  (mm),f_y (MPa),f_c (MPa),L (mm),e_t (mm),P_exp (kN)
114.43,3.98,343.0,31.4,300.0,0.0,948.0
114.57,3.99,343.0,93.6,300.0,0.0,1308.0
114.43,3.82,343.0,34.7,300.0,0.0,929.0
114.26,3.93,343.0,97.2,300.0,0.0,1359.0
114.88,4.91,365.0,34.7,300.5,0.0,1380.0
115.04,4.92,365.0,104.9,300.0,0.0,1787.0
115.02,5.02,365.0,57.6,300.5,0.0,1413.0
114.49,3.75,343.0,57.6,299.3,0.0,1038.0
114.29,3.75,343.0,57.6,300.0,0.0,1067.0
114.3,3.85,343.0,31.9,300.0,0.0,998.0
114.09,3.85,343.0,31.9,300.5,0.0,948.0
114.54,3.84,343.0,98.9,300.0,0.0,1359.0
114.37,3.85,343.0,98.9,299.5,0.0,1182.0
165.0,2.82,363.3,48.3,580.5,0.0,1662.0
190.0,1.94,256.4,41.0,663.5,0.0,1678.0
190.0,1.52,306.1,48.3,664.5,0.0,1695.0
190.0,1.13,185.7,41.0,664.5,0.0,1377.0
190.0,0.86,210.7,41.0,659.0,0.0,1350.0
165.0,2.82,363.3,80.2,580.5,0.0,2295.0
190.0,1.94,256.4,74.7,663.5,0.0,2592.0
190.0,1.52,306.1,80.2,663.5,0.0,2602.0
190.0,1.13,185.7,80.2,662.5,0.0,2295.0
190.0,0.86,210.7,74.7,663.5,0.0,2451.0
149.0,2.96,308.0,25.4,223.5,0.0,941.0
149.0,2.96,308.0,40.5,223.5,0.0,1064.0
149.0,2.96,308.0,40.5,223.5,0.0,1080.0
149.0,2.96,308.0,77.0,223.5,0.0,1781.0
301.0,2.96,279.0,25.4,322.6,0.0,2382.0
300.0,2.96,279.0,41.1,322.6,0.0,3277.0
300.0,2.96,279.0,41.1,322.6,0.0,3152.0
301.0,2.96,279.0,80.3,322.6,0.0,5540.0
450.0,2.96,279.0,25.4,485.1,0.0,4415.0
450.0,2.96,279.0,41.1,485.1,0.0,6870.0
450.0,2.96,279.0,41.1,485.1,0.0,6985.0
450.0,2.96,279.0,85.1,485.1,0.0,11665.0
122.0,4.54,576.0,25.4,215.9,0.0,1509.0
122.0,4.54,576.0,40.5,215.9,0.0,1657.0
122.0,4.54,576.0,40.5,215.9,0.0,1663.0
122.0,4.54,576.0,77.0,215.9,0.0,2100.0
239.0,4.54,507.0,25.4,315.0,0.0,3035.0
238.0,4.54,507.0,40.5,315.0,0.0,3583.0
238.0,4.54,507.0,40.5,315.0,0.0,3647.0
238.0,4.54,507.0,77.0,315.0,0.0,5578.0
361.0,4.54,525.0,25.4,477.5,0.0,5633.0
361.0,4.54,525.0,41.1,477.5,0.0,7260.0
